FID,id,latitude,longitude,district
221,110,28.981516719999998,71.787941919999994,Bahawalpur
222,118,29.215697360000000,71.360629250000002,Bahawalpur
223,119,28.811059570000001,71.345789960000005,Bahawalpur
224,125,29.594517979999999,72.246971540000004,Bahawalpur
225,132,29.611167779999999,72.659252670000001,Bahawalpur
226,158,28.764918439999999,71.575319579999999,Bahawalpur
227,168,28.424098829999998,71.215688319999998,Bahawalpur
228,173,28.510278880000001,71.806806890000004,Bahawalpur
229,183,28.898345410000001,72.270867640000006,Bahawalpur
230,191,28.874091669999999,71.495515609999998,Bahawalpur
231,192,28.400721300000001,71.134674120000000,Bahawalpur
232,198,29.092256290000002,71.477146950000005,Bahawalpur
233,200,29.188313550000000,71.435441400000002,Bahawalpur
234,201,28.821319740000000,71.673024720000001,Bahawalpur
235,209,28.905051029999999,71.784320609999995,Bahawalpur
236,212,28.845463700000000,71.139034870000003,Bahawalpur
237,222,29.149662570000000,71.314494929999995,Bahawalpur
238,236,29.379397160000000,72.203610100000006,Bahawalpur
239,239,28.389704259999998,71.760137459999996,Bahawalpur
240,249,28.521401529999999,71.502398990000003,Bahawalpur
241,252,28.474095169999998,71.656331159999993,Bahawalpur
242,267,29.480988090000000,72.068044130000004,Bahawalpur
243,271,28.563240900000000,72.159847260000006,Bahawalpur
244,276,29.256200010000001,71.820705669999995,Bahawalpur
245,297,29.251913200000001,70.983319969999997,Bahawalpur
246,33,31.357164600000001,71.329586280000001,Bhakkar
247,42,32.083453470000002,71.470402140000004,Bhakkar
248,68,31.619491539999999,70.894468619999998,Bhakkar
249,71,31.610268529999999,70.988561219999994,Bhakkar
250,76,31.823939469999999,71.388613449999994,Bhakkar
251,90,32.010639750000003,71.220456839999997,Bhakkar
252,92,31.825450350000001,71.382404350000002,Bhakkar
253,127,31.799104620000001,71.105245710000005,Bhakkar
254,134,31.986871680000000,71.244867270000000,Bhakkar
255,204,31.484654500000001,71.447286800000001,Bhakkar
256,256,32.001840880000003,71.566164869999994,Bhakkar
257,8,32.955312030000002,73.034161260000005,Chakwal
258,81,32.812065720000000,72.446919809999997,Chakwal
259,122,33.148495029999999,72.692909340000000,Chakwal
260,140,33.089385040000003,72.541207549999996,Chakwal
261,220,32.699662300000000,72.926309439999997,Chakwal
262,223,32.994239450000002,72.407224549999995,Chakwal
263,228,32.639761080000000,71.895204079999999,Chakwal
264,254,32.674465949999998,72.817769650000002,Chakwal
265,258,32.946068120000000,73.159749669999997,Chakwal
266,289,33.117370260000001,72.090158380000005,Chakwal
267,151,31.902734800000001,73.011677410000004,Chiniot
268,164,31.585473170000000,72.640813460000004,Chiniot
269,206,31.745783750000001,73.050942620000001,Chiniot
270,217,31.450651140000002,72.823496539999994,Chiniot
271,5,30.399850669999999,70.431849650000004,Dera Ghazi Khan
272,27,31.160031190000002,70.358156030000004,Dera Ghazi Khan
273,32,30.651222969999999,70.472836790000002,Dera Ghazi Khan
274,51,29.740826439999999,70.745134980000003,Dera Ghazi Khan
275,72,31.006238069999998,70.334900640000001,Dera Ghazi Khan
276,139,30.272057690000000,70.200715000000002,Dera Ghazi Khan
277,169,30.301444109999998,70.162414519999999,Dera Ghazi Khan
278,174,30.709106559999999,70.202277640000005,Dera Ghazi Khan
279,181,31.003759670000001,70.510757880000000,Dera Ghazi Khan
280,190,30.037820010000001,70.657988320000001,Dera Ghazi Khan
281,196,30.498341210000000,70.449429379999998,Dera Ghazi Khan
282,242,30.083808220000002,70.516888550000004,Dera Ghazi Khan
283,243,30.971672670000000,70.263046729999999,Dera Ghazi Khan
284,255,31.145347670000000,70.387184450000007,Dera Ghazi Khan
285,270,31.043483739999999,70.755976739999994,Dera Ghazi Khan
286,273,30.203203169999998,70.707984039999999,Dera Ghazi Khan
287,277,30.061037630000001,70.249064059999995,Dera Ghazi Khan
288,288,30.657890680000001,70.649622059999999,Dera Ghazi Khan
289,7,30.943763430000001,73.093448120000005,Faisalabad
290,35,30.889994489999999,72.718662429999995,Faisalabad
291,54,31.267327970000000,73.504722839999999,Faisalabad
292,59,31.127342800000001,72.861345420000006,Faisalabad
293,64,31.417849929999999,72.848313579999996,Faisalabad
294,121,30.853912970000000,72.728271190000001,Faisalabad
295,182,31.511229119999999,72.958383380000001,Faisalabad
296,26,32.217726570000004,73.867607070000005,Gujranwala
297,52,32.312151929999999,73.885649770000001,Gujranwala
298,86,32.248931849999998,74.157051220000000,Gujranwala
299,142,31.998247670000001,74.284709919999997,Gujranwala
